Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,path:ppu03030,-0.37651419028037486,-0.8335977091033903,0.716636197440585,0.7744908916772278,1.0,4/14,19.57%,dnaG;dnaQ;ssb;holC
prerank,path:ppu00670,0.4077241156236441,0.8068474010036522,0.7157894736842105,0.8142183109538101,1.0,4/9,24.45%,metF;metH;thyA;metK
prerank,path:ppu00061,0.36469019131356406,0.7554158673972631,0.7755102040816326,0.8698812498825652,1.0,2/10,10.87%,accC;accB
prerank,path:ppu02024,-0.3070684060133207,-0.7520348701685474,0.8413547237076648,0.8481300692635485,1.0,7/23,23.03%,ydcS;pabA;secB;kdpE;livM;secE;ribA
prerank,path:ppu00564,0.3551711195662642,0.7413264556915296,0.7943722943722944,0.8726370707776939,1.0,3/10,17.57%,glpD;plsY;ugpQ
prerank,path:ppu01212,0.3254138906144277,0.7177139072178957,0.84688995215311,0.8840956609686739,1.0,2/14,10.87%,accC;accB
prerank,path:ppu00790,-0.28994592940090297,-0.6876150269021883,0.8938053097345132,0.8807066084920719,1.0,6/18,23.47%,folP;folA;queE;moaA;ribA;queF
prerank,path:ppu04146,0.36322471018249103,0.6248694089066933,0.8755364806866953,0.9539387886583575,1.0,1/5,4.84%,icd
prerank,path:ppu01503,0.3148999401124475,0.6005464405549971,0.9087048832271762,0.9540593625323337,1.0,4/7,38.78%,amiC;ppiA;cpxR;lpxA
prerank,path:ppu00541,0.27626298037290037,0.5903558162962531,0.9473684210526315,0.94494278574247,1.0,2/11,10.12%,glmU;diaA
